BINCODE	NAME	IDENTIFIER	DESCRIPTION	TYPE
-1	root
0	control genes
1	PS
1.1	PS.lightreaction
1.1.1	PS.lightreaction.photosystem II
1.1.1.1	PS.lightreaction.photosystem II.LHC-II
1.1.1.2	PS.lightreaction.photosystem II.PSII polypeptide subunits
1.1.1.3	PS.lightreaction.photosystem II.biogenesis
1.1.1.4	PS.lightreaction.photosystem II.LHC biogenesis
1.1.1001	PS.lightreaction
1.1.1002	PS.lightreaction.binding proteins.Chlorophyll a
1.1.1003	PS.lightreaction.binding proteins.Chlorophyll b
1.1.1004	PS.lightreaction.PS II.PQ
1.1.2	PS.lightreaction.photosystem I
1.1.2.1	PS.lightreaction.photosystem I.LHC-I
1.1.2.2	PS.lightreaction.photosystem I.PSI polypeptide subunits
1.1.2.3	PS.lightreaction.photosystem I.biogenesis
1.1.3	PS.lightreaction.cytochrome b6/f
1.1.3.1	PS.lightreaction.cytochrome b6/f.iron sulfur subunit
1.1.3.2	PS.lightreaction.cytochrome b6/f.subunit 4 (PETD)
1.1.3.3	PS.lightreaction.cytochrome b6/f.cytochrome b6 (CYB6)
1.1.3.4	PS.lightreaction.cytochrome b6/f.apocytochrome f (CYF)
1.1.3.5	PS.lightreaction.cytochrome b6/f.biogenesis
1.1.30	PS.lightreaction.state transition
1.1.4	PS.lightreaction.ATP synthase
1.1.4.1	PS.lightreaction.ATP synthase.alpha subunit
1.1.4.2	PS.lightreaction.ATP synthase.beta subunit
1.1.4.3	PS.lightreaction.ATP synthase.epsilon chain
1.1.4.4	PS.lightreaction.ATP synthase.gamma chain
1.1.4.5	PS.lightreaction.ATP synthase.subunit C
1.1.4.6	PS.lightreaction.ATP synthase.chloroplastic subunit a
1.1.4.7	PS.lightreaction.ATP synthase.delta chain
1.1.4.8	PS.lightreaction.ATP synthase.subunit B (ATPF)
1.1.4.9	PS.lightreaction.ATP synthase.subunit B_ (ATPX)
1.1.40	PS.lightreaction.cyclic electron flow-chlororespiration
1.1.5	PS.lightreaction.other electron carrier (ox/red)
1.1.5.1	PS.lightreaction.other electron carrier (ox/red).plastocyanin
1.1.5.2	PS.lightreaction.other electron carrier (ox/red).ferredoxin
1.1.5.3	PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase
1.1.5.4	PS.lightreaction.other electron carrier (ox/red).ferredoxin oxireductase
1.1.50	PS.lightreaction.NPQ
1.1.6	PS.lightreaction.NADH DH
1.1.60	PS.lightreaction.state transition
1.1.70	PS.lightreaction.hydrogenase
1.1.70.1	PS.lightreaction.hydrogenase.FeFe-hydrogenase
1.1.70.2	PS.lightreaction.hydrogenase.NiFe-hydrogenase
1.1.99	PS.lightreaction.unspecified
1.1.99.1	PS.lightreaction.unspecified.TEF
1.2	PS.photorespiration
1.2.1	PS.photorespiration.phosphoglycolate phosphatase
1.2.1001	PS.photorespiration.glycerate
1.2.1002	PS.photorepiration.glycolate
1.2.1003	PS.photorepiration.glycine
1.2.1004	PS.photorepiration.serine
1.2.1005	PS.photorepiration.glyoxylate
1.2.1006	PS.photorepiration.hydroxypyruvate
1.2.2	PS.photorespiration.glycolate oxydase
1.2.3	PS.photorespiration.aminotransferases peroxisomal
1.2.4	PS.photorespiration.glycine cleavage
1.2.4.1	PS.photorespiration.glycine cleavage.P subunit
1.2.4.2	PS.photorespiration.glycine cleavage.T subunit
1.2.4.3	PS.photorespiration.glycine cleavage.L subunit
1.2.4.4	PS.photorespiration.glycine cleavage.H protein
1.2.5	PS.photorespiration.serine hydroxymethyltransferase
1.2.6	PS.photorespiration.hydroxypyruvate reductase
1.2.7	PS.photorespiration.glycerate kinase
1.3	PS.calvin cycle
1.3.1	PS.calvin cycle.rubisco large subunit
1.3.10	PS.calvin cycle.Rib5P Isomerase
1.3.1001	PS.calvin cycle.ribulose-1,5-bisP
1.3.1002	PS.calvin cycle
1.3.1003	PS.calvin cycle
1.3.1004	PS.calvin cycle
1.3.1005	PS.calvin cycle
1.3.1006	PS.calvin cycle
1.3.1007	PS.calvin cycle
1.3.11	PS.calvin cycle.RPE
1.3.12	PS.calvin cycle.PRK
1.3.13	PS.calvin cycle.rubisco interacting
1.3.2	PS.calvin cycle.rubisco small subunit
1.3.3	PS.calvin cycle.phosphoglycerate kinase
1.3.4	PS.calvin cycle.GAP
1.3.5	PS.calvin cycle.TPI
1.3.6	PS.calvin cycle.aldolase
1.3.7	PS.calvin cycle.FBPase
1.3.8	PS.calvin cycle.transketolase
1.3.9	PS.calvin cycle.seduheptulose bisphosphatase
1.4	PS.reductive PP
1.5	PS.carbon concentrating mechanism
1.5.1	PS.carbon concentrating mechanism.C4
1.5.2	PS.carbon concentrating mechanism.CAM
1.5.3	PS.carbon concentrating mechanism.algal
10	cell wall
10.1	cell wall.precursor synthesis
10.1.1	cell wall.precursor synthesis.NDP sugar pyrophosphorylase
10.1.1.1	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP mannose
10.1.1.2	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.GDP fucose and fucokinase
10.1.1.20	cell wall.precursor synthesis.NDP sugar pyrophosphorylase.multiple NDP-Sugars
10.1.10	cell wall.precursor synthesis.UDP-glucose 4,6-dehydratase
10.1.11	cell wall.precursor synthesis.UER
10.1.12	cell wall.precursor synthesis.KDO pathway
10.1.12.1	cell wall.precursor synthesis.KDO pathway.arabinose-5-phosphate isomerase
10.1.12.2	cell wall.precursor synthesis.KDO pathway.KDO-8-Phosphate Synthase
10.1.12.3	cell wall.precursor synthesis.KDO pathway.KDO-8-Phosphate Phosphatase
10.1.12.4	cell wall.precursor synthesis.KDO pathway.CMP-KDO Synthetase
10.1.2	cell wall.precursor synthesis.UGE
10.1.20	cell wall.precursor synthesis.phosphomannose isomerase
10.1.21	cell wall.precursor synthesis.phosphomannomutase
10.1.3	cell wall.precursor synthesis.AXS
10.1.30	cell wall.precursor synthesis.sugar kinases
10.1.30.1	cell wall.precursor synthesis.sugar kinases.galacturonic acid kinase
10.1.30.2	ell wall.precursor synthesis.sugar kinases.arabinose-1-kinase
10.1.30.3	cell wall.precursor synthesis.sugar kinases.glucuronic acid kinase
10.1.4	cell wall.precursor synthesis.UGD
10.1.5	cell wall.precursor synthesis.UXS
10.1.6	cell wall.precursor synthesis.GAE
10.1.7	cell wall.precursor synthesis.GMD
10.1.8	cell wall.precursor synthesis.GER
10.1.9	cell wall.precursor synthesis.MUR4
10.2	cell wall.cellulose synthesis
10.2.1	cell wall.cellulose synthesis.cellulose synthase
10.2.1001	cell wall degradation
10.2.1002	cell wall degradation
10.2.1003	cell wall degradation
10.2.1004	cell wall degradation
10.2.1005	cell wall degradation
10.2.1006	cell wall degradation
10.2.1007	cell wall degradation
10.2.1008	cell wall degradation
10.2.1009	cell wall degradation
10.2.1010	cell wall degradation
10.2.1011	cell wall degradation
10.2.1012	cell wall degradation
10.2.1013	cell wall degradation
10.2.2	cell wall.cellulose synthesis.COBRA
10.3	cell wall.hemicellulose synthesis
10.3.1	cell wall.hemicellulose synthesis.xyloglucan
10.3.1.1	cell wall.hemicellulose synthesis.xyloglucan.XXXG galactose Transferase
10.3.2	cell wall.hemicellulose synthesis.glucuronoxylan
10.3.3	cell wall.hemicellulose synthesis.arabinoxylan
10.3.4	cell wall.hemicellulose synthesis.glucomannan
10.3.5	cell wall.hemicellulose synthesis.galactomannan
10.4	cell wall.pectin synthesis
10.4.1	cell wall.pectin synthesis.homogalacturonan
10.4.1.1	cell wall.pectin synthesis.homogalacturonan.Galacturonic Acid Trnasferase
10.4.2	cell wall.pectin synthesis.rhamnogalacturonan I
10.4.3	cell wall.pectin synthesis.rhamnogalacturonan II
10.4.3.6	cell wall.pectin synthesis.rhamnogalacturonan II.Xylose  Transferase with Fucose Acceptor
10.4.4	cell wall.pectin synthesis.Xylogalacturonan
10.4.4.1	cell wall.pectin synthesis.Xylogalacturonan.Xylose Transferase
10.5	cell wall.cell wall proteins
10.5.1	cell wall.cell wall proteins.AGPs
10.5.1.1	cell wall.cell wall proteins.AGPs.AGP
10.5.1.2	cell wall.cell wall proteins.AGPs.AGP Fucosyltransferase
10.5.2	cell wall.cell wall proteins.proline rich proteins
10.5.3	cell wall.cell wall proteins.LRR
10.5.4	cell wall.cell wall proteins.HRGP
10.5.5	cell wall.cell wall proteins.RGP
10.6	cell wall.degradation
10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases
10.6.1001	cell wall.degradation
10.6.2	cell wall.degradation.mannan-xylose-arabinose-fucose
10.6.3	cell wall.degradation.pectate lyases and polygalacturonases
10.7	cell wall.modification
10.8	cell wall.pectin*esterases
10.8.1	cell wall.pectin*esterases.PME
10.8.2	cell wall.pectin*esterases.acetyl esterase
10.8.99	cell wall.pectin*esterases.misc
11	lipid metabolism
11.1	lipid metabolism.FA synthesis and FA elongation
11.1.01	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation
11.1.1	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation
11.1.1.1	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation.homomeric Enzyme
11.1.1.2	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation.heteromeric Complex
11.1.1.2.1	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation.heteromeric Complex.alpha Carboxyltransferase
11.1.1.2.2	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation.heteromeric Complex.beta Carboxyltransferase
11.1.1.2.3	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation.heteromeric Complex.Biotin Carboxyl Carrier Protein
11.1.1.2.4	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Carboxylation.heteromeric Complex.Biotin Carboxylase
11.1.10	lipid metabolism.FA synthesis and FA elongation.beta ketoacyl CoA synthase
11.1.1001	lipid metabolism.FA synthesis and FA elongation
11.1.1002	lipid metabolism.FA synthesis and FA elongation
11.1.1003	lipid metabolism.FA synthesis and FA elongation
11.1.11	lipid metabolism.FA synthesis and FA elongation.fatty acid elongase
11.1.12	lipid metabolism.FA synthesis and FA elongation.ACP protein
11.1.13	lipid metabolism.FA synthesis and FA elongation.acyl-CoA binding protein
11.1.15	lipid metabolism.FA synthesis and FA elongation.ACP desaturase
11.1.2	lipid metabolism.FA synthesis and FA elongation.Acetyl CoA Transacylase
11.1.20	lipid metabolism.FA synthesis and FA elongation.MCD
11.1.3	lipid metabolism.FA synthesis and FA elongation.ketoacyl ACP synthase
11.1.30	lipid metabolism.FA synthesis and FA elongation.pyruvate kinase
11.1.31	lipid metabolism.FA synthesis and FA elongation.pyruvate DH
11.1.4	lipid metabolism.FA synthesis and FA elongation.ACP oxoacyl reductase
11.1.5	lipid metabolism.FA synthesis and FA elongation.beta hydroxyacyl ACP dehydratase
11.1.6	lipid metabolism.FA synthesis and FA elongation.enoyl ACP reductase
11.1.7	lipid metabolism.FA synthesis and FA elongation.ACP thioesterase
11.1.8	lipid metabolism.FA synthesis and FA elongation.acyl coa ligase
11.1.9	lipid metabolism.FA synthesis and FA elongation.long chain fatty acid CoA ligase
11.10	lipid metabolism.glycolipid synthesis
11.10.1	lipid metabolism.glycolipid synthesis.MGDG synthase
11.10.1001	lipid metabolism.galactolipid synthesis
11.10.1002	lipid metabolism.galactolipid synthesis
11.10.2	lipid metabolism.glycolipid synthesis.DGDG synthase
11.10.3	lipid metabolism.glycolipid synthesis.UDP-sulfoquinovose synthase
11.10.4	lipid metabolism.glycolipid synthesis.sulfolipid synthase
11.1001	lipid metabolism
11.1002	lipid metabolism
11.1003	lipid metabolism
11.1004	lipid metabolism
11.1005	lipid metabolism
11.1006	lipid metabolism
11.1007	lipid metabolism
11.1008	lipid metabolism
11.1009	lipid metabolism
11.1010	lipid metabolism
11.1011	lipid metabolism
11.1012	lipid metabolism
11.1013	lipid metabolism
11.1014	lipid metabolism
11.1015	lipid metabolism
11.1016	lipid metabolism
11.1017	lipid metabolism
11.1018	lipid metabolism
11.1019	lipid metabolism
11.1020	lipid metabolism
11.1021	lipid metabolism
11.1022	lipid metabolism
11.1023	lipid metabolism
11.1024	lipid metabolism
11.1025	lipid metabolism
11.1026	lipid metabolism
11.1027	lipid metabolism
11.1028	lipid metabolism
11.1029	lipid metabolism
11.1030	lipid metabolism
11.1031	lipid metabolism
11.1032	lipid metabolism
11.1033	lipid metabolism
11.1034	lipid metabolism
11.1035	lipid metabolism
11.1036	lipid metabolism
11.1037	lipid metabolism
11.1038	lipid metabolism
11.1039	lipid metabolism
11.1040	lipid metabolism
11.1041	lipid metabolism
11.2	lipid metabolism.FA desaturation
11.2.1	lipid metabolism.FA desaturation.desaturase
11.2.1001	lipid metabolism.FA desaturation
11.2.2	lipid metabolism.FA desaturation.a hydroxylase
11.2.3	lipid metabolism.FA desaturation.omega 3 desaturase
11.2.4	lipid metabolism.FA desaturation.omega 6 desaturase
11.3	lipid metabolism.Phospholipid synthesis
11.3.1	lipid metabolism.Phospholipid synthesis.1-acylglycerol-3-phosphate O-acyltransferase
11.3.10	lipid metabolism.Phospholipid synthesis.(S)-coclaurine-N-methyltransferase
11.3.2	lipid metabolism.Phospholipid synthesis.choline kinase
11.3.3	lipid metabolism.Phospholipid synthesis.phosphatidate cytidylyltransferase
11.3.4	lipid metabolism.Phospholipid synthesis.CDP-diacylglycerol-inositol 3-phosphatidyltransferase
11.3.5	lipid metabolism.Phospholipid synthesis.diacylglycerol kinase
11.3.6	lipid metabolism.Phospholipid synthesis.choline-phosphate cytidylyltransferase
11.3.7	lipid metabolism.Phospholipid synthesis.cyclopropane-fatty-acyl-phospholipid synthase
11.3.8	lipid metabolism.Phospholipid synthesis.phosphatidylserine decarboxylase
11.3.9	lipid metabolism.Phospholipid synthesis.choline monooxygenase
11.4	lipid metabolism.TAG synthesis
11.5	lipid metabolism.glyceral metabolism
11.5.1	lipid metabolism.glyceral metabolism.glycerol kinase
11.5.1001	lipid metabolism.glyceral metabolism
11.5.1002	lipid metabolism.glyceral metabolism
11.5.2	lipid metabolism.glyceral metabolism.Glycerol-3-phosphate dehydrogenase (NAD+)
11.5.3	lipid metabolism.glyceral metabolism.FAD-dependent glycerol-3-phosphate dehydrogenase
11.6	lipid metabolism.lipid transfer proteins etc
11.7	lipid metabolism.unassigned
11.8	lipid metabolism.'exotics'(steroids, squalene etc)
11.8.1	lipid metabolism.'exotics' (steroids, squalene etc).sphingolipids
11.8.1.1	lipid metabolism.'exotics' (steroids, squalene etc).sphingolipids.ceramidase
11.8.1.2	lipid metabolism.'exotics' (steroids, squalene etc).sphingolipids.serine C-palmitoyltransferase
11.8.1.3	lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids.ceramide glucosyltransferase
11.8.10	lipid metabolism.'exotics' (steroids, squalene etc).phosphatidylcholinesterol O-acyltransferase
11.8.1001	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1002	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1003	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1004	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1005	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1006	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1007	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1008	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1009	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1010	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1011	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1012	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.1013	lipid metabolism.'exotics' (steroids, squalene etc)
11.8.2	lipid metabolism.'exotics' (steroids, squalene etc).methylsterol monooxygenase
11.8.3	lipid metabolism.'exotics' (steroids, squalene etc).UDP-glucose:sterol glucosyltransferase
11.8.4	lipid metabolism.'exotics' (steroids, squalene etc).3-beta hydroxysteroid dehydrogenase/isomerase
11.8.5	lipid metabolism.'exotics' (steroids, squalene etc).squalene monooxygenase
11.8.6	lipid metabolism.'exotics' (steroids, squalene etc).cycloartenol synthase
11.8.7	lipid metabolism.'exotics' (steroids, squalene etc).trans-2-enoyl-CoA reductase (NADPH)
11.8.8	lipid metabolism.'exotics' (steroids, squalene etc).squalene synthase
11.9	lipid metabolism.lipid degradation
11.9.1	lipid metabolism.lipid degradation.palmitoyl[protein] hydrolase
